num_lines,empty_lines_ratio,avg_len_lines,num_line_com,avg_len_line_com,num_block_com,avg_len_block_com,num_variables,avg_len_variables,num_if,num_for,num_do,num_while,num_switch,num_cast,class
70.0,0.1860465116279069,25.567954696868753,1.0,49.0,0.0,0.0,15.0,3.6,3.0,5.0,0.0,0.0,0.0,0.0,0.0
59.0,0.2027027027027027,25.749482877499425,3.0,29.0,0.0,0.0,12.0,4.25,1.0,3.0,0.0,0.0,0.0,0.0,0.0
61.0,0.1973684210526315,26.69292360960831,1.0,49.0,0.0,0.0,15.0,3.933333333333333,1.0,4.0,0.0,0.0,0.0,0.0,1.0
62.0,0.2051282051282051,25.228630705394192,1.0,49.0,0.0,0.0,14.0,3.857142857142857,1.0,4.0,0.0,0.0,0.0,0.0,0.0
68.0,0.1807228915662650,26.48214602949014,1.0,49.0,0.0,0.0,15.0,3.6666666666666665,3.0,5.0,0.0,0.0,0.0,0.0,1.0
65.0,0.1875,25.704918032786885,1.0,49.0,0.0,0.0,13.0,3.5384615384615383,3.0,3.0,0.0,2.0,0.0,0.0,0.0
67.0,0.1829268292682926,24.469793757985034,1.0,49.0,0.0,0.0,14.0,3.7857142857142856,2.0,4.0,0.0,0.0,0.0,0.0,0.0
73.0,0.2150537634408602,24.359432707933227,1.0,49.0,0.0,0.0,15.0,3.533333333333333,3.0,5.0,0.0,0.0,0.0,0.0,0.0
71.0,0.2022471910112359,26.85113474051738,1.0,49.0,0.0,0.0,14.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
72.0,0.2,24.65181058495822,1.0,49.0,1.0,304.0,12.0,4.416666666666667,1.0,3.0,0.0,0.0,0.0,0.0,0.0
60.0,0.25,23.682008368200837,1.0,49.0,0.0,0.0,12.0,3.75,1.0,3.0,0.0,0.0,0.0,0.0,0.0
66.0,0.2325581395348837,25.43811881188119,1.0,49.0,0.0,0.0,12.0,3.9166666666666665,2.0,4.0,0.0,0.0,0.0,0.0,0.0
59.0,0.2337662337662337,25.354696132596686,1.0,49.0,0.0,0.0,12.0,4.416666666666667,1.0,3.0,0.0,0.0,0.0,0.0,0.0
64.0,0.2098765432098765,25.474162957228565,1.0,49.0,0.0,0.0,13.0,3.5384615384615383,2.0,5.0,0.0,0.0,0.0,0.0,1.0
74.0,0.1868131868131868,25.22584487122227,1.0,49.0,0.0,0.0,16.0,3.4375,2.0,5.0,0.0,0.0,0.0,0.0,0.0
65.0,0.2073170731707317,27.11725955204216,1.0,49.0,0.0,0.0,16.0,4.75,1.0,4.0,0.0,0.0,0.0,0.0,0.0
64.0,0.2,24.294670846394986,1.0,49.0,0.0,0.0,14.0,3.357142857142857,1.0,4.0,0.0,0.0,0.0,0.0,1.0
66.0,0.2325581395348837,25.134016973125885,1.0,49.0,0.0,0.0,15.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
56.0,0.2112676056338028,25.955061853067406,1.0,49.0,0.0,0.0,12.0,4.166666666666667,1.0,3.0,0.0,0.0,0.0,0.0,1.0
69.0,0.1785714285714285,28.363258951738455,1.0,49.0,0.0,0.0,15.0,3.3333333333333335,4.0,4.0,0.0,1.0,0.0,0.0,0.0
60.0,0.2105263157894736,27.078345070422536,1.0,49.0,0.0,0.0,14.0,3.7142857142857144,1.0,4.0,0.0,0.0,0.0,0.0,1.0
81.0,0.25,22.043343653250773,1.0,49.0,0.0,0.0,14.0,3.4285714285714284,3.0,5.0,0.0,0.0,0.0,0.0,0.0
60.0,0.2,26.187290969899667,1.0,49.0,0.0,0.0,14.0,3.857142857142857,1.0,4.0,0.0,0.0,0.0,0.0,0.0
77.0,0.2596153846153846,21.123167522866808,1.0,49.0,0.0,0.0,13.0,3.5384615384615383,3.0,5.0,0.0,0.0,0.0,0.0,1.0
69.0,0.1976744186046511,24.432313672469157,1.0,49.0,0.0,0.0,15.0,3.6,2.0,4.0,0.0,0.0,0.0,0.0,0.0
63.0,0.2222222222222222,26.092035398230088,1.0,49.0,0.0,0.0,14.0,3.857142857142857,1.0,4.0,0.0,0.0,0.0,0.0,1.0
60.0,0.2,26.37123745819398,1.0,49.0,0.0,0.0,14.0,3.9285714285714284,1.0,4.0,0.0,0.0,0.0,0.0,0.0
68.0,0.2093023255813953,26.036020583190393,1.0,49.0,0.0,0.0,13.0,3.923076923076923,3.0,5.0,0.0,0.0,0.0,0.0,1.0
79.0,0.2403846153846154,25.850811866682943,1.0,49.0,0.0,0.0,14.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
65.0,0.2073170731707317,25.897986071899116,1.0,49.0,0.0,0.0,13.0,4.076923076923077,2.0,4.0,0.0,0.0,0.0,0.0,1.0
67.0,0.2023809523809523,27.351274282659062,1.0,49.0,0.0,0.0,16.0,4.4375,1.0,4.0,0.0,0.0,0.0,0.0,0.0
68.0,0.1904761904761904,26.073033707865168,1.0,49.0,0.0,0.0,14.0,3.5,3.0,5.0,0.0,0.0,0.0,0.0,1.0
62.0,0.2051282051282051,26.879253112033194,1.0,49.0,0.0,0.0,15.0,4.333333333333333,1.0,4.0,0.0,0.0,0.0,0.0,1.0
55.0,0.2142857142857142,27.707953063885267,1.0,49.0,0.0,0.0,13.0,3.769230769230769,1.0,4.0,0.0,0.0,0.0,0.0,1.0
66.0,0.175,25.7045195594379,1.0,49.0,0.0,0.0,15.0,3.466666666666667,2.0,4.0,0.0,0.0,0.0,0.0,0.0
55.0,0.2142857142857142,26.13820078226858,1.0,49.0,0.0,0.0,11.0,4.454545454545454,1.0,3.0,0.0,0.0,0.0,0.0,1.0
67.0,0.2209302325581395,23.465436183179524,1.0,49.0,0.0,0.0,12.0,3.9166666666666665,2.0,4.0,0.0,0.0,0.0,0.0,0.0
61.0,0.2077922077922078,27.141636402478102,3.0,47.0,0.0,0.0,13.0,3.6923076923076925,1.0,4.0,0.0,0.0,0.0,0.0,0.0
61.0,0.1973684210526315,26.36399047825146,2.0,30.5,0.0,0.0,14.0,3.642857142857143,1.0,4.0,0.0,0.0,0.0,0.0,1.0
64.0,0.2,25.799373040752354,1.0,49.0,0.0,0.0,12.0,3.75,2.0,4.0,0.0,0.0,0.0,0.0,1.0
75.0,0.1847826086956521,26.171146302484384,1.0,49.0,0.0,0.0,18.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
82.0,0.2869565217391304,21.673406406299883,1.0,49.0,0.0,0.0,14.0,3.5714285714285716,3.0,5.0,0.0,0.0,0.0,0.0,1.0
57.0,0.2083333333333333,24.774761555392516,1.0,49.0,0.0,0.0,11.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
66.0,0.1951219512195122,26.092290585618976,1.0,49.0,0.0,0.0,14.0,3.642857142857143,3.0,5.0,0.0,0.0,0.0,0.0,0.0
63.0,0.2222222222222222,25.884955752212388,1.0,49.0,0.0,0.0,14.0,4.357142857142857,1.0,4.0,0.0,0.0,0.0,0.0,1.0
61.0,0.2077922077922078,25.578936124759668,1.0,49.0,0.0,0.0,14.0,3.5714285714285716,1.0,4.0,0.0,0.0,0.0,0.0,0.0
64.0,0.2195121951219512,25.90133843212237,1.0,49.0,0.0,0.0,15.0,3.6666666666666665,1.0,4.0,0.0,0.0,0.0,0.0,1.0
65.0,0.1975308641975308,26.264431320251475,1.0,49.0,0.0,0.0,14.0,4.857142857142857,2.0,4.0,0.0,0.0,0.0,0.0,1.0
55.0,0.2142857142857142,25.554106910039113,1.0,49.0,0.0,0.0,11.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
65.0,0.2168674698795180,24.080342198251813,1.0,49.0,0.0,0.0,14.0,3.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0
56.0,0.2112676056338028,26.04468568543297,2.0,39.5,0.0,0.0,11.0,4.181818181818182,1.0,3.0,0.0,0.0,0.0,0.0,1.0
71.0,0.2022471910112359,24.379304872242503,1.0,49.0,0.0,0.0,12.0,3.9166666666666665,2.0,4.0,0.0,0.0,0.0,0.0,1.0
76.0,0.1827956989247312,28.713799461069353,18.0,27.77777777777778,0.0,0.0,11.0,4.363636363636363,1.0,3.0,0.0,0.0,0.0,0.0,1.0
64.0,0.2289156626506024,25.35631966748536,1.0,49.0,0.0,0.0,14.0,4.357142857142857,1.0,4.0,0.0,0.0,0.0,0.0,1.0
67.0,0.2023809523809523,26.782391730529316,4.0,37.75,0.0,0.0,13.0,4.923076923076923,1.0,4.0,0.0,0.0,0.0,0.0,1.0
72.0,0.1910112359550561,25.01079643248318,1.0,49.0,0.0,0.0,14.0,3.5,3.0,5.0,0.0,0.0,0.0,0.0,0.0
61.0,0.2179487179487179,27.162623919004428,1.0,49.0,0.0,0.0,13.0,4.6923076923076925,1.0,3.0,0.0,0.0,0.0,0.0,0.0
57.0,0.2083333333333333,27.363169479090242,1.0,49.0,0.0,0.0,13.0,4.384615384615385,1.0,3.0,0.0,0.0,0.0,0.0,0.0
60.0,0.2,26.33779264214047,1.0,49.0,0.0,0.0,13.0,3.5384615384615383,1.0,4.0,0.0,0.0,0.0,0.0,0.0
68.0,0.2,25.766961651917406,1.0,49.0,0.0,0.0,15.0,3.6,3.0,5.0,0.0,0.0,0.0,0.0,0.0
61.0,0.1973684210526315,27.49880978143259,1.0,49.0,0.0,0.0,15.0,4.133333333333334,1.0,4.0,0.0,0.0,0.0,0.0,1.0
72.0,0.2340425531914893,24.022531870738213,1.0,49.0,0.0,0.0,16.0,3.375,1.0,4.0,0.0,0.0,0.0,0.0,1.0
61.0,0.2179487179487179,25.287070238346338,1.0,49.0,0.0,0.0,13.0,3.6923076923076925,1.0,4.0,0.0,0.0,0.0,0.0,0.0
56.0,0.2222222222222222,24.9203187250996,1.0,49.0,0.0,0.0,11.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
66.0,0.2413793103448276,24.361824855794442,1.0,49.0,0.0,0.0,14.0,3.5714285714285716,1.0,4.0,0.0,0.0,0.0,0.0,1.0
66.0,0.2413793103448276,24.802831672784478,1.0,49.0,0.0,0.0,14.0,4.214285714285714,1.0,4.0,0.0,0.0,0.0,0.0,1.0
55.0,0.2253521126760563,24.66469529442016,0.0,0.0,0.0,0.0,11.0,4.181818181818182,1.0,3.0,0.0,0.0,0.0,0.0,1.0
63.0,0.2125,25.35536531953016,1.0,49.0,0.0,0.0,14.0,4.071428571428571,2.0,4.0,0.0,0.0,0.0,0.0,1.0
87.0,0.1792452830188679,22.943822666521786,2.0,26.5,0.0,0.0,20.0,2.85,3.0,8.0,0.0,0.0,0.0,0.0,0.0
66.0,0.1851851851851851,25.860438942037142,1.0,49.0,0.0,0.0,14.0,3.7142857142857144,3.0,5.0,0.0,0.0,0.0,0.0,0.0
66.0,0.2235294117647059,24.99373993918798,1.0,49.0,0.0,0.0,16.0,3.6875,1.0,4.0,0.0,0.0,0.0,0.0,1.0
